    0     1   0.1353  0.0028    -56.052 0.335     38.662  0.218     
    1     1   0.1166  0.0027    -51.859 0.318     38.157  0.207     
    2     1   0.1160  0.0026    -53.768 0.317     38.910  0.206     
    3     1   0.1081  0.0024    -64.529 0.313     38.738  0.203     
    4     1   0.1185  0.0028    -61.921 0.310     36.096  0.200     
    5     1   0.1145  0.0026    -56.924 0.325     38.783  0.210     
    6     1   0.1205  0.0025    -54.670 0.342     40.308  0.227     
    7     1   0.1244  0.0027    -55.396 0.325     38.260  0.212     
    8     1   0.1254  0.0027    -54.081 0.322     36.949  0.210     
    9     1   0.1215  0.0027    -50.434 0.366     40.743  0.251     
   10     1   0.1092  0.0027    -56.867 0.312     37.536  0.200     
   11     1   0.1189  0.0027    -50.856 0.382     41.254  0.263     
   12     1   0.1202  0.0028    -47.271 0.440     41.162  0.315     
   13     1   0.1227  0.0026    -52.233 0.398     41.499  0.277     
   14     1   0.0000  0.0000    0.000   0.000     0.000   0.000     
   15     1   0.1667  0.0062    -35.002 1.457     51.811  1.401     
   16     1   0.1203  0.0029    -44.139 0.485     40.109  0.353     
   17     1   0.1176  0.0027    -54.236 0.348     41.325  0.233     
   18     1   0.1135  0.0029    -59.598 0.318     36.714  0.206     
   19     1   0.1328  0.0032    -45.775 0.441     40.183  0.316     
   20     1   0.1152  0.0029    -58.238 0.314     38.166  0.201     
   21     1   0.1193  0.0027    -53.838 0.337     39.497  0.222     
   22     1   0.1194  0.0026    -58.184 0.330     39.911  0.213     
   23     1   0.1197  0.0029    -52.756 0.321     39.034  0.208     
   24     1   0.1209  0.0029    -43.132 0.534     40.948  0.394     
   25     1   0.1175  0.0027    -48.891 0.443     41.558  0.317     
   26     1   0.1262  0.0032    -47.574 0.466     40.886  0.333     
   27     1   0.1228  0.0031    -43.812 0.546     40.464  0.405     
   28     1   0.1232  0.0025    -51.972 0.340     39.553  0.225     
   29     1   0.1266  0.0032    -45.176 0.583     43.144  0.433     
   30     1   0.1199  0.0028    -49.419 0.391     40.317  0.271     
   31     1   0.1283  0.0027    -53.216 0.351     40.215  0.235     
   32     1   0.1240  0.0028    -55.733 0.322     39.071  0.209     
   33     1   0.1264  0.0031    -61.938 0.336     34.674  0.215     
   34     1   0.1239  0.0027    -49.311 0.375     39.753  0.255     
   35     1   0.1256  0.0027    -55.991 0.342     39.818  0.223     
   36     1   0.1247  0.0029    -50.981 0.350     39.398  0.232     
   37     1   0.1159  0.0032    -78.864 0.281     33.790  0.133     
   38     1   0.1208  0.0027    -51.928 0.337     39.215  0.223     
   39     1   0.1301  0.0027    -51.320 0.352     39.854  0.234     
   40     1   0.1300  0.0032    -43.644 0.399     38.141  0.277     
   41     1   0.1304  0.0031    -56.471 0.324     34.976  0.210     
   42     1   0.1323  0.0027    -45.278 0.371     38.195  0.255     
   43     1   0.1317  0.0032    -43.483 0.548     40.529  0.404     
