    0     1   0.1315  0.0032    -46.728 0.318     33.802  0.202     
    1     1   0.1484  0.0036    -48.093 0.295     27.098  0.190     
    2     1   0.1395  0.0036    -47.056 0.296     28.288  0.190     
    3     1   0.1374  0.0038    -44.432 0.295     26.622  0.189     
    4     1   0.1507  0.0036    -40.307 0.285     24.822  0.184     
    5     1   0.1321  0.0034    -45.141 0.303     29.227  0.195     
    6     1   0.1350  0.0034    -46.473 0.306     29.882  0.196     
    7     1   0.1375  0.0032    -43.244 0.319     32.785  0.205     
    8     1   0.1293  0.0032    -52.438 0.310     30.217  0.197     
    9     1   0.1462  0.0036    -45.261 0.300     27.335  0.193     
   10     1   0.1338  0.0033    -40.640 0.303     31.106  0.196     
   11     1   0.1428  0.0035    -45.909 0.305     29.611  0.195     
   12     1   0.1348  0.0033    -49.047 0.313     30.657  0.200     
   13     1   0.1564  0.0045    -42.277 0.274     21.944  0.175     
   14     1   0.1261  0.0031    -44.250 0.305     32.367  0.197     
   15     1   0.1308  0.0034    -43.613 0.305     31.272  0.195     
   16     1   0.1354  0.0040    -41.744 0.293     24.857  0.187     
   17     1   0.1385  0.0032    -44.037 0.313     32.337  0.201     
   18     1   0.1312  0.0030    -47.811 0.311     31.948  0.200     
   19     1   0.1382  0.0031    -41.422 0.311     32.248  0.200     
   20     1   0.1472  0.0038    -42.325 0.297     26.699  0.190     
   21     1   0.1493  0.0035    -45.532 0.301     29.381  0.195     
   22     1   0.1440  0.0034    -46.634 0.298     26.827  0.190     
   23     1   0.1350  0.0031    -42.535 0.320     32.438  0.206     
   24     1   0.1396  0.0033    -47.267 0.312     30.943  0.200     
   25     1   0.1365  0.0031    -42.884 0.326     34.530  0.212     
   26     1   0.1365  0.0034    -47.670 0.320     32.715  0.206     
   27     1   0.1433  0.0038    -42.830 0.293     28.096  0.189     
   28     1   0.1387  0.0030    -40.469 0.321     34.113  0.208     
   29     1   0.1356  0.0033    -50.899 0.324     32.843  0.207     
   30     1   0.1340  0.0036    -47.259 0.311     31.394  0.199     
   31     1   0.1431  0.0033    -42.818 0.317     32.160  0.205     
   32     1   0.1430  0.0033    -42.186 0.320     31.460  0.206     
   33     1   0.1404  0.0035    -47.823 0.310     29.881  0.199     
   34     1   0.1514  0.0034    -42.846 0.319     30.201  0.206     
   35     1   0.1365  0.0033    -40.100 0.308     31.014  0.199     
   36     1   0.1724  0.0042    -50.415 0.307     23.995  0.196     
   37     1   0.1403  0.0035    -41.303 0.310     28.942  0.200     
   38     1   0.1490  0.0036    -42.673 0.297     26.191  0.191     
   39     1   0.1417  0.0034    -38.525 0.311     32.047  0.201     
   40     1   0.1520  0.0040    -40.910 0.296     26.046  0.190     
   41     1   0.1291  0.0027    -38.882 0.354     34.893  0.237     
   42     1   0.1399  0.0033    -42.662 0.314     31.398  0.202     
   43     1   0.1408  0.0034    -48.030 0.321     31.534  0.205     
   44     1   0.1402  0.0035    -41.871 0.310     30.213  0.199     
   45     1   0.1408  0.0033    -35.748 0.320     31.645  0.210     
   46     1   0.1448  0.0036    -48.288 0.320     30.577  0.204     
   47     1   0.1591  0.0041    -49.115 0.296     24.906  0.190     
   48     1   0.1425  0.0032    -42.439 0.313     32.588  0.202     
   49     1   0.1388  0.0029    -43.856 0.330     35.051  0.215     
   50     1   0.1418  0.0034    -40.365 0.320     32.666  0.207     
   51     1   0.1450  0.0037    -49.668 0.322     30.027  0.205     
   52     1   0.1370  0.0034    -47.459 0.314     31.285  0.200     
   53     1   0.1482  0.0035    -45.339 0.310     28.768  0.199     
   54     1   0.1420  0.0032    -43.504 0.315     31.724  0.202     
   55     1   0.1484  0.0034    -53.055 0.335     32.312  0.213     
   56     1   0.1465  0.0038    -51.025 0.311     28.527  0.197     
   57     1   0.1375  0.0032    -47.402 0.320     30.323  0.204     
   58     1   0.1468  0.0035    -40.155 0.304     29.436  0.195     
   59     1   0.1457  0.0038    -41.862 0.307     29.239  0.198     
   60     1   0.1471  0.0033    -40.597 0.309     28.814  0.199     
   61     1   0.1521  0.0040    -44.405 0.316     28.218  0.201     
   62     1   0.1426  0.0034    -39.254 0.325     32.611  0.210     
   63     1   0.1476  0.0033    -42.724 0.328     33.253  0.212     
